wday,company,content,link
Sun,BlockSec,phishing scam,https://twitter.com/BlockSecTeam/status/1606969617947451393
Thu,BlockSec,Jay attacker,https://twitter.com/BlockSecTeam/status/1608372475225866240
Tue,PeckShield,GDS,https://twitter.com/peckshield/status/1610095490368180224
Sun,PeckShield,CryptoRubic,https://twitter.com/peckshield/status/1606936312619347969
Sun,PeckShield,Rubic Exploited,https://twitter.com/peckshield/status/1606942321115033600
Sun,PeckShield,Rubic Exploited,https://twitter.com/peckshield/status/1606937055761952770
Fri,PeckShieldAlert,SNOW,https://twitter.com/PeckShieldAlert/status/1608672716147785733
Fri,PeckShieldAlert,Snowflake,https://twitter.com/PeckShieldAlert/status/1608670176022761476
Fri,PeckShieldAlert,SBF,https://twitter.com/PeckShieldAlert/status/1608652524940296192
Wed,PeckShieldAlert,Alameda Whale,https://twitter.com/PeckShieldAlert/status/1608023101425750017
Tue,PeckShieldAlert,BitKeep Exploitation,https://twitter.com/PeckShieldAlert/status/1607672436379770881
Tue,PeckShieldAlert,Sol TVL,https://twitter.com/PeckShieldAlert/status/1607663831366660096
Tue,PeckShieldAlert,Team Finance Exploiter,https://twitter.com/PeckShieldAlert/status/1607566607450267649
Mon,PeckShieldAlert,BitKeep,https://twitter.com/PeckShieldAlert/status/1607266917894737921
Mon,PeckShieldAlert,PECO,https://twitter.com/PeckShieldAlert/status/1607201978580619266
Tue,CertiK,CertiK CEO,https://twitter.com/CertiK/status/1610005534010212357
Sun,CertiK,Newyear,https://twitter.com/CertiK/status/1609421661584883718
Fri,CertiK,Audit,https://twitter.com/CertiK/status/1608853691758678017
Fri,CertiK,Look back,https://twitter.com/CertiK/status/1608833439977058306
Fri,CertiK,Lifelabs audit,https://twitter.com/CertiK/status/1608579555819950080
Fri,CertiK,5 years,https://twitter.com/CertiK/status/1608510017832894464
Thu,CertiK,TS with Kucoin,https://twitter.com/CertiK/status/1608167607286235137
Tue,CertiK,Chat,https://twitter.com/CertiK/status/1607707742520623104
Wed,CertiK,OKX NFT Marketplace audit,https://twitter.com/CertiK/status/1607782927286374400
Wed,CertiK,Investigtations summary,https://twitter.com/CertiK/status/1608085149345890304
Thu,CertiK,Partnership with Open Network,https://twitter.com/CertiK/status/1608146781690384388
Thu,CertiK,Partnership with OKC,https://twitter.com/CertiK/status/1608148347801698304
Mon,CertiKCommunity,wishlist,https://twitter.com/CertiKCommunity/status/1609592338703323137
Sat,CertiKCommunity,prediction,https://twitter.com/CertiKCommunity/status/1609156782915571712
Fri,CertiKCommunity,High/low BTC,https://twitter.com/CertiKCommunity/status/1608794905995771904
Fri,CertiKCommunity,FTX,https://twitter.com/CertiKCommunity/status/1608534537272963078
Thu,CertiKCommunity,holding,https://twitter.com/CertiKCommunity/status/1608432392288583681
Wed,CertiKCommunity,First project,https://twitter.com/CertiKCommunity/status/1608076559226732545
Wed,CertiKCommunity,Top Watchlisted,https://twitter.com/CertiKCommunity/status/1607787416643063808
Mon,CertiKCommunity,Project with best Commuinity,https://twitter.com/CertiKCommunity/status/1607345228632956928
Sun,CertiKCommunity,holiday wish,https://twitter.com/CertiKCommunity/status/1606982966995226625
Wed,Chainalysis,BTC whale,https://twitter.com/chainalysis/status/1605571440585035776
Sun,CertiK,Merrychristmas,https://twitter.com/CertiK/status/1607015349433634823
